hrr,name,state,n_hospitals,total_beds,degree_cent,betweenness_cent,eigenvector_cent,btw_rank,deg_rank,community
261,MS- OXFORD,MS,7,577,0.009900990099009901,0.010622254278407973,0.00029426019369704844,161,251,1
262,MS- TUPELO,AL,11,1504,0.019801980198019802,0.008884663300767162,0.0005224311884127666,174,93,1
263,MO- CAPE GIRARDEAU,IL,8,820,0.013201320132013201,0.04301357288046685,0.0020501091072983395,74,198,4
264,MO- COLUMBIA,MO,19,1773,0.019801980198019802,0.02865385876335978,0.07947579409243466,109,93,4
267,MO- JOPLIN,KS,13,1135,0.0165016501650165,0.03348414311629838,0.10959625529564498,95,142,3
268,MO- KANSAS CITY,KS,48,6434,0.023102310231023104,0.008502174720783335,0.3089672172783798,179,56,3
270,MO- SPRINGFIELD,AR,14,2029,0.023102310231023104,0.062487705724214804,0.052531275783006634,53,56,4
273,MO- ST LOUIS,IL,58,10996,0.023102310231023104,6.55694708543702e-05,0.021174279981335687,252,56,4
274,MT- BILLINGS,MT,37,1565,0.026402640264026403,0.0670994251743055,0.03820008591114499,45,31,2
275,MT- GREAT FALLS,MT,11,572,0.006600660066006601,0.0,0.0036769717658064758,281,286,2
276,MT- MISSOULA,ID,18,815,0.0165016501650165,0.004021594212401372,0.006823284634493641,213,142,2
277,NE- LINCOLN,KS,35,1594,0.019801980198019802,0.0046991454112298645,0.31006459452798063,207,93,3
278,NE- OMAHA,IA,53,3936,0.019801980198019802,4.3712980569580134e-05,0.2972030858714848,255,93,3
279,NV- LAS VEGAS,AZ,21,3920,0.019801980198019802,0.06246584923393001,0.0211564898715934,54,93,2
280,NV- RENO,CA,19,1356,0.0297029702970297,0.11117850195615588,0.01613007009390012,10,17,2
281,NH- LEBANON,NH,17,891,0.019801980198019802,0.01304832470001967,2.3452827574709313e-08,151,93,6
282,NH- MANCHESTER,NH,13,1736,0.013201320132013201,0.0002622778834174808,2.097025029902768e-09,248,198,6
283,NJ- CAMDEN,NJ,21,7108,0.009900990099009901,0.007289139509977487,1.4976004649066487e-05,186,251,6
284,NJ- HACKENSACK,NJ,10,3002,0.013201320132013201,0.0,1.6549804785323983e-08,281,198,6
285,NJ- MORRISTOWN,NJ,6,1561,0.0297029702970297,0.09074814766244836,2.091820602928115e-06,17,17,6
288,NJ- NEW BRUNSWICK,NJ,6,2534,0.013201320132013201,0.004644504185517889,2.43860924569022e-06,208,198,6
289,NJ- NEWARK,NJ,12,4083,0.013201320132013201,0.0,1.8131896393972054e-07,281,198,6
291,NJ- PATERSON,NJ,2,758,0.013201320132013201,0.009584070989880445,3.502712383907459e-08,170,198,6
292,NJ- RIDGEWOOD,NJ,3,711,0.013201320132013201,0.0005245557668349616,4.4618941785699975e-08,240,198,6
293,NM- ALBUQUERQUE,AZ,34,3161,0.026402640264026403,0.018752868664349876,0.06288413263584652,138,31,2
295,NY- ALBANY,MA,24,4483,0.036303630363036306,0.050947478853845644,1.8936301854006594e-07,66,3,6
296,NY- BINGHAMTON,NY,7,842,0.0165016501650165,0.00030599086398706095,2.795691556037839e-07,246,142,6
297,NY- BRONX,NY,7,3483,0.006600660066006601,0.0,4.628306826122021e-09,281,286,6
299,NY- BUFFALO,NY,16,3350,0.006600660066006601,0.0,3.074099848723445e-06,281,286,6
300,NY- ELMIRA,NY,6,891,0.0165016501650165,0.017616331169540794,2.444229547132284e-07,142,142,6
301,NY- EAST LONG ISLAND,NY,26,9057,0.0033003300330033004,0.0,1.0266297530820151e-09,281,299,6
303,NY- MANHATTAN,NY,26,13095,0.009900990099009901,0.0066006600660066,7.958203148007562e-09,193,251,6
304,NY- ROCHESTER,NY,15,2650,0.019801980198019802,0.0006994076891132822,3.146728394221023e-06,235,93,6
307,NY- SYRACUSE,NY,16,2232,0.0165016501650165,0.0,2.8723704001073326e-07,281,142,6
308,NY- WHITE PLAINS,NY,11,3251,0.026402640264026403,0.03311258278145695,9.8719447267892e-08,99,31,6
309,NC- ASHEVILLE,NC,13,1405,0.023102310231023104,0.0061198172797412185,0.00010665120630293023,203,56,0
311,NC- CHARLOTTE,NC,20,4692,0.026402640264026403,0.008611457172207286,1.7061798245424003e-05,178,31,0
312,NC- DURHAM,NC,15,3676,0.0297029702970297,0.048106135116822935,1.4993713016022224e-05,70,17,0
313,NC- GREENSBORO,NC,5,1317,0.009900990099009901,0.010359976394990492,1.9044475866395494e-06,162,251,0
314,NC- GREENVILLE,NC,13,1993,0.009900990099009901,0.0,5.107298460149537e-05,281,251,0
315,NC- HICKORY,NC,3,557,0.013201320132013201,0.009092299958472667,4.274062368112562e-06,172,198,0
318,NC- RALEIGH,NC,12,3312,0.0165016501650165,0.06279369658820186,5.45898343133426e-05,52,142,0
319,NC- WILMINGTON,NC,7,980,0.0165016501650165,0.0884750726728302,6.033953843344859e-06,18,142,0
320,NC- WINSTON-SALEM,NC,16,3225,0.023102310231023104,0.009004873997333507,1.7701687247875483e-05,173,56,0
321,ND- BISMARCK,ND,17,759,0.0165016501650165,0.0013769588879417743,0.056057410283474746,232,142,10
322,ND- FARGO MOORHEAD -MN,MN,25,1534,0.0165016501650165,0.0,0.08037589818533693,281,142,10
323,ND- GRAND FORKS,MN,15,521,0.009900990099009901,0.01903700303805215,0.022986033649053737,136,251,10
324,ND- MINOT,MT,10,558,0.013201320132013201,0.021004087163683256,0.013552409982034042,129,198,10
325,OH- AKRON,OH,5,2008,0.009900990099009901,0.0,6.616950479391564e-06,281,251,7
326,OH- CANTON,OH,9,1967,0.0165016501650165,0.05269599807662885,5.4142797420115736e-05,62,142,7
327,OH- CINCINNATI,IN,18,4535,0.019801980198019802,0.005944965357462899,0.0005764295287075445,204,93,0
328,OH- CLEVELAND,OH,27,6876,0.023102310231023104,0.03348414311629838,9.888111894805989e-05,95,56,7
329,OH- COLUMBUS,OH,46,7747,0.033003300330033,0.07448691889056455,0.000456385480672672,31,8,7
330,OH- DAYTON,OH,17,3350,0.023102310231023104,0.06985334295018905,0.00032376489767432863,42,56,9
331,OH- ELYRIA,OH,2,649,0.0033003300330033004,0.0,1.825079524050672e-06,281,299,7
332,OH- KETTERING,OH,4,1065,0.009900990099009901,0.0704216116975936,4.5808896931770506e-05,41,251,7
334,OH- TOLEDO,MI,17,3221,0.019801980198019802,0.03455511114025309,0.00012325430658844094,92,93,7
335,OH- YOUNGSTOWN,OH,9,1863,0.0165016501650165,0.03582278757677092,2.347217765244791e-05,90,142,7
336,OK- LAWTON,OK,7,523,0.009900990099009901,6.55694708543702e-05,0.029541646006683128,252,251,3
339,OK- OKLAHOMA CITY,OK,66,5549,0.026402640264026403,0.023386444604725373,0.30537987462315425,119,31,3
340,OK- TULSA,KS,38,4522,0.0165016501650165,0.0,0.21377999537962666,281,142,3
341,OR- BEND,OR,6,348,0.019801980198019802,0.06377723865101742,0.001530066229771113,50,93,2
342,OR- EUGENE,OR,13,1176,0.013201320132013201,0.0,0.0003244692663433763,281,198,2
343,OR- MEDFORD,CA,9,966,0.013201320132013201,0.00987913360872511,0.0010525222120267642,166,198,2
344,OR- PORTLAND,OR,31,4594,0.023102310231023104,0.03289401787860905,0.002246224153053814,100,56,2
345,OR- SALEM,OR,3,346,0.009900990099009901,0.03923240006119817,9.918582150944189e-05,81,251,2
346,PA- ALLENTOWN,NJ,16,2242,0.019801980198019802,0.0002622778834174808,7.162342844034943e-06,248,93,6
347,PA- ALTOONA,PA,6,568,0.019801980198019802,0.08750245885515703,6.225922265875623e-05,20,93,7
350,PA- DANVILLE,PA,11,953,0.023102310231023104,0.062127073634515764,3.147012292345341e-05,55,56,6
351,PA- ERIE,NY,16,1083,0.026402640264026403,0.07402793259458396,3.567885326019772e-05,33,31,7
352,PA- HARRISBURG,PA,10,1632,0.023102310231023104,0.037462024348130174,0.00048104233206962824,87,56,6
354,PA- JOHNSTOWN,PA,5,555,0.013201320132013201,0.055985399864489756,3.942502041105979e-05,60,198,7
355,PA- LANCASTER,PA,6,974,0.0165016501650165,0.03904661989377745,0.0003062263123798603,82,142,6
356,PA- PHILADELPHIA,NJ,42,8889,0.023102310231023104,0.06285926605905623,3.216806864552066e-05,51,56,6
357,PA- PITTSBURGH,OH,44,8238,0.026402640264026403,0.01940856337289358,0.000164322591388699,132,31,7
358,PA- READING,PA,6,733,0.0165016501650165,0.02343015758529495,3.0214793539168656e-05,118,142,6
359,PA- SAYRE,NY,6,394,0.023102310231023104,0.06504491508753524,2.9293206773872978e-06,48,56,6
360,PA- SCRANTON,PA,5,628,0.019801980198019802,0.06641094573033463,4.3242487466006943e-07,46,93,6
362,PA- WILKES-BARRE,PA,2,480,0.013201320132013201,0.05972285970318886,7.040156755519358e-07,57,198,6
363,PA- YORK,PA,5,521,0.006600660066006601,0.0,0.00025633238615177143,281,286,2
364,RI- PROVIDENCE,MA,12,2666,0.013201320132013201,0.0005464122571197517,2.715224061218059e-09,239,198,6
365,SC- CHARLESTON,SC,12,2633,0.0165016501650165,0.07837737416125719,8.943227131470628e-06,28,142,0
366,SC- COLUMBIA,SC,14,3030,0.023102310231023104,0.003868598780407842,6.114985443904799e-05,214,56,0
367,SC- FLORENCE,SC,9,1206,0.0165016501650165,0.007168928813411142,5.905307148157674e-06,187,142,0
368,SC- GREENVILLE,SC,11,2123,0.013201320132013201,0.0007212641793980722,5.254076082939195e-05,234,198,0
369,SC- SPARTANBURG,NC,5,1007,0.013201320132013201,0.0037156033484143113,8.52743109174729e-06,215,198,0
370,SD- RAPID CITY,NE,11,620,0.019801980198019802,0.07697855878303062,0.08188985551866283,29,93,10
371,SD- SIOUX FALLS,IA,61,2668,0.0297029702970297,0.06935064367363888,0.28268567379375403,43,17,10
373,TN- CHATTANOOGA,GA,7,2298,0.019801980198019802,0.04360369811815618,0.00026847890233187095,73,93,0
374,TN- JACKSON,TN,10,1267,0.009900990099009901,0.0,0.0006157371523879674,281,251,0
375,TN- JOHNSON CITY,NC,6,777,0.0165016501650165,0.011758791773217056,4.0626711661110854e-05,154,142,0
376,TN- KINGSPORT,TN,11,1940,0.019801980198019802,0.03134220706838896,0.00016017740970754316,102,93,0
377,TN- KNOXVILLE,KY,25,4220,0.023102310231023104,0.030030817651301552,0.0006092915789722781,107,56,0
379,TN- MEMPHIS,AR,25,5482,0.033003300330033,0.03685004262015605,0.003942013087162267,88,8,1
380,TN- NASHVILLE,KY,53,7825,0.033003300330033,0.09077000415273315,0.001980619036309274,16,8,0
382,TX- ABILENE,TX,14,1323,0.0297029702970297,0.13852643542499946,0.011558607793054555,3,17,5
383,TX- AMARILLO,KS,21,1347,0.019801980198019802,0.06419251196642843,0.15162332691908334,49,93,3
385,TX- AUSTIN,TX,21,3200,0.0165016501650165,0.0,0.002123732150282016,281,142,5
386,TX- BEAUMONT,TX,6,1117,0.006600660066006601,0.0034751819552816207,0.000209828149701581,221,286,5
388,TX- BRYAN,TX,7,630,0.0165016501650165,0.011693222302362687,0.0016529619037927664,155,142,5
390,TX- CORPUS CHRISTI,TX,7,1731,0.0165016501650165,0.00963871221559242,0.007855582953453502,168,142,5
391,TX- DALLAS,OK,68,10308,0.026402640264026403,0.011562083360653945,0.1213151027505259,156,31,3
393,TX- EL PASO,NM,15,2470,0.009900990099009901,0.00950757327388368,0.009960102760166565,171,251,5
394,TX- FORT WORTH,TX,29,4388,0.013201320132013201,0.0,0.03169255715461316,281,198,3
396,TX- HARLINGEN,TX,5,1283,0.006600660066006601,0.0,0.00023844003863210189,281,286,5
397,TX- HOUSTON,TX,74,14559,0.023102310231023104,0.006272812711734749,0.003788362125392602,200,56,5
399,TX- LONGVIEW,TX,1,155,0.009900990099009901,0.08567744191637706,0.0004765003194009813,23,251,1
400,TX- LUBBOCK,NM,26,2569,0.023102310231023104,0.004305728586103643,0.034245919913229006,211,56,5
402,TX- MCALLEN,TX,6,1921,0.009900990099009901,0.0034970384455664106,0.0004144265333655015,220,251,5
406,TX- ODESSA,TX,11,1010,0.013201320132013201,0.012370773501191179,0.0036891557573434128,153,198,5
411,TX- SAN ANGELO,TX,10,687,0.013201320132013201,0.008655170152776866,0.0035483434209791975,177,198,5
412,TX- SAN ANTONIO,TX,29,6401,0.026402640264026403,0.017375909776408103,0.003166952782598607,143,31,5
413,TX- TEMPLE,TX,8,922,0.013201320132013201,0.008305466308220226,0.0013276239729735292,180,198,5
416,TX- TYLER,TX,13,1365,0.023102310231023104,0.059777500928900835,0.016197472461426762,56,56,5
417,TX- VICTORIA,TX,6,604,0.009900990099009901,0.004240159115249273,0.0006166200268451626,212,251,5
418,TX- WACO,TX,9,694,0.019801980198019802,0.0530457019211855,0.013335206612137683,61,93,5
420,TX- WICHITA FALLS,TX,12,873,0.023102310231023104,0.05086005289270649,0.062037028083578236,67,56,3
421,UT- OGDEN,UT,5,715,0.0033003300330033004,0.0,0.00417026745327588,281,299,2
422,UT- PROVO,UT,11,798,0.0033003300330033004,0.0,0.008173352692389271,281,299,2
423,UT- SALT LAKE CITY,CO,44,3484,0.039603960396039604,0.0998841606014906,0.09359703504973141,13,1,2
424,VT- BURLINGTON,NY,13,1678,0.013201320132013201,0.005136275216925666,4.794838286815629e-08,206,198,6
426,VA- ARLINGTON,VA,12,2577,0.013201320132013201,0.0,6.026753219235715e-05,281,198,7
427,VA- CHARLOTTESVILLE,VA,7,1308,0.023102310231023104,0.07226848512665836,2.751021394063419e-05,35,56,7
